fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,descripcion_conducta,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane,
2010-01-25,valle,cali (ct),lunes,14:00:00,puerto nuevo e7,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,12,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-01-26,valle,cali (ct),martes,00:00:00,cgto la voragine,rural,fincas y similares,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,31,femenino,union libre,colombia,independiente,no reportado,primaria,76001000,1.0
2010-01-27,valle,cali (ct),miercoles,10:30:00,diamante e13,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-28,valle,cali (ct),jueves,08:00:00,el retiro e15,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,23,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-01-28,valle,cali (ct),jueves,21:30:00,mojica e15,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,26,femenino,soltero,no reportado,ama de casa,no reportado,secundaria,76001000,1.0
2010-01-29,valle,cali (ct),viernes,00:00:00,siloe e20,urbana,vias publicas,articulo 210. acceso carnal o acto sexual abusivo con incapaz de resistir,no reportado,a pie,a pie,23,femenino,soltero,colombia,desempleado,no reportado,secundaria,76001000,1.0
2010-01-29,valle,cali (ct),viernes,09:00:00,el poblado i e13,urbana,dentro de la vivienda,articulo 205. acceso carnal violento,contundentes,a pie,a pie,14,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-01-31,valle,cali (ct),domingo,15:00:00,la flora e2,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000,1.0
2010-01-31,valle,cali (ct),domingo,21:30:00,marroquin i e14,urbana,vias publicas,articulo 206. acto sexual violento,arma de fuego,a pie,a pie,16,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-01,valle,cali (ct),lunes,08:00:00,cgto montebello e1,urbana,vias publicas,articulo 210 a. acoso sexual,no reportado,a pie,a pie,34,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-02-01,valle,cali (ct),lunes,08:00:00,terron colorado e1,urbana,casas de habitacion,articulo 210 a. acoso sexual,no reportado,a pie,a pie,19,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-01,valle,cali (ct),lunes,11:00:00,marroquin i e14,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,34,masculino,union libre,colombia,independiente,no reportado,tecnico,76001000,1.0
2010-02-01,valle,cali (ct),lunes,17:00:00,antonio narino e16,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,20,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000,1.0
2010-02-02,valle,cali (ct),martes,19:00:00,el poblado i e13,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,28,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-03,valle,cali (ct),miercoles,04:00:00,el cortijo e20,urbana,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,55,femenino,union libre,colombia,ama de casa,no reportado,primaria,76001000,1.0
2010-02-03,valle,cali (ct),miercoles,17:00:00,polvorines e18,urbana,casas de habitacion,articulo 208. acceso carnal abusivo con menor de 14 anos,arma blanca,a pie,a pie,37,masculino,union libre,colombia,independiente,no reportado,primaria,76001000,1.0
2010-02-04,valle,cali (ct),jueves,09:00:00,el guabal e10,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,30,masculino,casado,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-04,valle,cali (ct),jueves,12:30:00,departamental e10,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,34,femenino,casado,colombia,independiente,no reportado,superior,76001000,1.0
2010-02-04,valle,cali (ct),jueves,14:00:00,ciudad cordoba e15,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,13,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
2010-02-05,valle,cali (ct),viernes,07:20:00,siloe e20,urbana,,articulo 205. acceso carnal violento,contundentes,a pie,a pie,19,femenino,soltero,colombia,sector ind,no reportado,secundaria,76001000,1.0
2010-02-05,valle,cali (ct),viernes,12:00:00,villacolombia e8,urbana,dentro de la vivienda,articulo 210. acceso carnal o acto sexual abusivo con incapaz de resistir,no reportado,a pie,a pie,19,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-02-05,valle,cali (ct),viernes,13:00:00,san pedro e3,urbana,vias publicas,articulo 210 a. acoso sexual,no reportado,a pie,a pie,18,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000,1.0
2010-02-05,valle,cali (ct),viernes,17:50:00,la flora e2,urbana,dentro de la vivienda,articulo 210 a. acoso sexual,no reportado,a pie,a pie,17,femenino,soltero,colombia,estudiante,no reportado,secundaria,76001000,1.0
2010-02-05,valle,cali (ct),viernes,21:15:00,tejares de salomia e6,urbana,cancha de futbol,articulo 205. acceso carnal violento,arma de fuego,vehiculo,a pie,26,femenino,soltero,colombia,empleado particular,no reportado,tecnologo,76001000,1.0
2010-02-06,valle,cali (ct),sabado,20:30:00,ciudad modelo e11,urbana,dentro de la vivienda,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,29,femenino,union libre,colombia,ama de casa,no reportado,superior,76001000,1.0
2010-02-07,valle,cali (ct),domingo,00:00:00,cgto la buitrera e18,rural,vias publicas,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,20,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-02-07,valle,cali (ct),domingo,09:00:00,terron colorado e1,urbana,vias publicas,articulo 206. acto sexual violento,contundentes,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,primaria,76001000,1.0
2010-02-07,valle,cali (ct),domingo,09:30:00,villas de veracruz e5,urbana,casas de habitacion,articulo 209. actos sexuales con menor de 14 anos,no reportado,a pie,a pie,6,femenino,soltero,colombia,estudiante,no reportado,primaria,76001000,1.0
