fecha,departamento,municipio,delito,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_de_nacimiento,clase_de_empleado,profesion,escolaridad,codigo_dane
2015-08-04,valle,cali (ct),articulo 205. acceso carnal violento,martes,04:38:00,el guabal e10,urbana,dentro de la vivienda,arma blanca / cortopunzante,a pie,a pie,22,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-04,valle,cali (ct),articulo 206. acto sexual violento,martes,00:00:00,urb. tequendama e19,urbana,"colegios, escuelas",contundentes,a pie,a pie,40,femenino,soltero,colombia,empleado particular,,secundaria,76001000
2015-08-04,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,martes,14:45:00,valle grande e21,urbana,vias publicas,sin empleo de armas,a pie,a pie,6,femenino,soltero,,empleado particular,,primaria,76001000
2015-08-04,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,martes,12:30:00,inv. nueve de enero e14,urbana,casas de habitacion,sin empleo de armas,a pie,a pie,5,masculino,soltero,colombia,desempleado,,analfabeta,76001000
2015-08-04,valle,cali (ct),articulo 210 a. acoso sexual,martes,14:00:00,flora industrial e4,urbana,"colegios, escuelas",sin empleo de armas,a pie,a pie,39,femenino,soltero,colombia,ama de casa,,secundaria,76001000
2015-08-05,valle,cali (ct),articulo 206. acto sexual violento,miercoles,08:30:00,caldas e18,urbana,vias publicas,arma blanca / cortopunzante,a pie,conductor motocicleta,15,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-05,valle,cali (ct),articulo 208. acceso carnal abusivo con menor de 14 anos,miercoles,16:00:00,jose m. marroquin ii e14,urbana,vias publicas,sin empleo de armas,a pie,a pie,4,femenino,soltero,colombia,empleado particular,,primaria,76001000
2015-08-05,valle,cali (ct),articulo 209. actos sexuales con menor de 14 anos,miercoles,19:50:00,sultana berlin san francisco e4,urbana,estacion m.i.o.,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-06,valle,cali (ct),articulo 210 a. acoso sexual,jueves,07:30:00,aranjuez e9,urbana,vias publicas,sin empleo de armas,a pie,a pie,14,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-07,valle,cali (ct),articulo 210 a. acoso sexual,viernes,04:30:00,urb. colseguros e19,urbana,vias publicas,sin empleo de armas,a pie,a pie,16,femenino,soltero,colombia,estudiante,,secundaria,76001000
2015-08-08,valle,cali (ct),articulo 206. acto sexual violento,sabado,08:00:00,terron colorado e1,urbana,dentro de la vivienda,arma blanca / cortopunzante,a pie,a pie,15,femenino,soltero,colombia,estudiante,,primaria,76001000
