fecha,departamento,municipio,dia,hora,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2012-01-16,valle,cali (ct),lunes,08:30:00,urbana,oficinas,arma de fuego,a pie,a pie,47,femenino,casado,colombia,sindicalista,no reportado,superior,76001000
2012-01-16,valle,cali (ct),lunes,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,43,femenino,viudo,colombia,comerciante,no reportado,superior,76001000
2012-01-16,valle,cali (ct),lunes,18:00:00,urbana,vias publicas,no reportado,a pie,a pie,70,femenino,casado,colombia,ama de casa,no reportado,primaria,76001000
2012-01-16,valle,cali (ct),lunes,20:00:00,urbana,vias publicas,no reportado,a pie,a pie,21,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-17,valle,cali (ct),martes,00:00:00,urbana,vias publicas,no reportado,a pie,a pie,41,masculino,casado,no reportado,desempleado,no reportado,tecnico,76001000
2012-01-17,valle,cali (ct),martes,08:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,45,femenino,union libre,no reportado,desempleado,no reportado,primaria,76001000
2012-01-17,valle,cali (ct),martes,14:20:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,46,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-17,valle,cali (ct),martes,16:30:00,urbana,vias publicas,no reportado,a pie,a pie,52,femenino,casado,no reportado,independiente,no reportado,superior,76001000
2012-01-17,valle,cali (ct),martes,17:00:00,urbana,vias publicas,no reportado,a pie,a pie,22,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2012-01-17,valle,cali (ct),martes,21:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,37,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-18,valle,cali (ct),miercoles,06:30:00,urbana,vias publicas,no reportado,a pie,a pie,24,masculino,casado,colombia,independiente,no reportado,superior,76001000
2012-01-18,valle,cali (ct),miercoles,06:40:00,urbana,vias publicas,no reportado,a pie,a pie,36,femenino,union libre,colombia,independiente,no reportado,superior,76001000
2012-01-18,valle,cali (ct),miercoles,14:00:00,urbana,vias publicas,no reportado,a pie,a pie,46,masculino,casado,colombia,independiente,no reportado,superior,76001000
2012-01-18,valle,cali (ct),miercoles,16:30:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,63,masculino,casado,colombia,independiente,no reportado,tecnico,76001000
2012-01-18,valle,cali (ct),miercoles,17:00:00,urbana,vias publicas,no reportado,a pie,a pie,57,masculino,union libre,no reportado,desempleado,no reportado,primaria,76001000
2012-01-18,valle,cali (ct),miercoles,19:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,41,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-18,valle,cali (ct),miercoles,20:00:00,urbana,vias publicas,arma de fuego,a pie,a pie,49,femenino,casado,colombia,independiente,no reportado,tecnico,76001000
2012-01-18,valle,cali (ct),miercoles,21:05:00,urbana,vias publicas,no reportado,a pie,a pie,40,femenino,union libre,colombia,independiente,no reportado,primaria,76001000
2012-01-18,valle,cali (ct),miercoles,21:30:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,37,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-19,valle,cali (ct),jueves,07:58:00,urbana,vias publicas,no reportado,a pie,a pie,39,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-19,valle,cali (ct),jueves,11:00:00,urbana,vias publicas,no reportado,a pie,a pie,58,femenino,divorciado,colombia,empleado salud,no reportado,superior,76001000
2012-01-19,valle,cali (ct),jueves,17:00:00,urbana,vias publicas,no reportado,a pie,a pie,61,femenino,union libre,colombia,desempleado,no reportado,primaria,76001000
2012-01-19,valle,cali (ct),jueves,18:00:00,urbana,vias publicas,no reportado,a pie,a pie,28,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-19,valle,cali (ct),jueves,20:15:00,urbana,vias publicas,arma de fuego,a pie,a pie,37,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-20,valle,cali (ct),viernes,14:00:00,urbana,casas de habitacion,no reportado,a pie,a pie,35,femenino,union libre,no reportado,desempleado,no reportado,primaria,76001000
2012-01-20,valle,cali (ct),viernes,20:30:00,urbana,centro comercial,no reportado,a pie,a pie,33,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-21,valle,cali (ct),sabado,11:00:00,urbana,vias publicas,no reportado,a pie,a pie,43,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2012-01-21,valle,cali (ct),sabado,16:30:00,urbana,,contundentes,a pie,a pie,36,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-22,valle,cali (ct),domingo,00:00:00,urbana,casas de habitacion,contundentes,a pie,a pie,40,femenino,casado,colombia,comerciante,no reportado,secundaria,76001000
2012-01-22,valle,cali (ct),domingo,00:51:00,urbana,centro comercial,no reportado,a pie,a pie,38,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2012-01-22,valle,cali (ct),domingo,11:00:00,urbana,vias publicas,arma de fuego,a pie,a pie,26,femenino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2012-01-22,valle,cali (ct),domingo,14:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,47,femenino,casado,colombia,independiente,no reportado,superior,76001000
2012-01-22,valle,cali (ct),domingo,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,40,femenino,casado,colombia,independiente,no reportado,superior,76001000
2012-01-23,valle,cali (ct),lunes,02:00:00,urbana,vias publicas,no reportado,a pie,a pie,56,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-23,valle,cali (ct),lunes,06:40:00,urbana,vias publicas,arma de fuego,a pie,a pie,40,femenino,soltero,no reportado,desempleado,no reportado,primaria,76001000
2012-01-23,valle,cali (ct),lunes,13:45:00,urbana,vias publicas,no reportado,a pie,a pie,29,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2012-01-23,valle,cali (ct),lunes,15:30:00,urbana,vias publicas,contundentes,a pie,a pie,42,femenino,divorciado,colombia,independiente,no reportado,tecnico,76001000
2012-01-24,valle,cali (ct),martes,00:00:00,urbana,vias publicas,no reportado,a pie,a pie,46,femenino,divorciado,colombia,ama de casa,no reportado,primaria,76001000
2012-01-24,valle,cali (ct),martes,09:30:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,37,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-24,valle,cali (ct),martes,14:00:00,urbana,vias publicas,arma de fuego,a pie,a pie,23,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-24,valle,cali (ct),martes,17:30:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,28,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-24,valle,cali (ct),martes,17:30:00,urbana,vias publicas,no reportado,a pie,a pie,28,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-25,valle,cali (ct),miercoles,00:00:00,urbana,vias publicas,sin empleo de armas,a pie,a pie,no reportado,no reporta,soltero,no reportado,empleado particular,no reportado,primaria,76001000
2012-01-25,valle,cali (ct),miercoles,03:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,40,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-25,valle,cali (ct),miercoles,10:00:00,urbana,vias publicas,no reportado,a pie,a pie,41,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2012-01-25,valle,cali (ct),miercoles,12:00:00,urbana,vias publicas,no reportado,a pie,a pie,46,masculino,soltero,colombia,independiente,no reportado,superior,76001000
2012-01-25,valle,cali (ct),miercoles,14:00:00,urbana,vias publicas,no reportado,a pie,a pie,29,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
2012-01-25,valle,cali (ct),miercoles,16:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,52,masculino,casado,colombia,independiente,no reportado,superior,76001000
2012-01-26,valle,cali (ct),jueves,03:00:00,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,28,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2012-01-26,valle,cali (ct),jueves,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,18,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2012-01-26,valle,cali (ct),jueves,15:00:00,urbana,vias publicas,no reportado,a pie,a pie,29,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
