fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2011-01-27,valle,cali (ct),jueves,00:00:00,juanambu e2,urbana,vias publicas,no reportado,a pie,a pie,32,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2011-01-28,valle,cali (ct),viernes,18:00:00,las ceibas e7,urbana,casas de habitacion,no reportado,a pie,a pie,40,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-01-29,valle,cali (ct),sabado,11:00:00,diamante e13,urbana,vias publicas,no reportado,a pie,a pie,58,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-01-30,valle,cali (ct),domingo,18:50:00,villa del prado e5,urbana,vias publicas,no reportado,a pie,a pie,26,femenino,union libre,colombia,independiente,no reportado,superior,76001000
2011-01-31,valle,cali (ct),lunes,16:00:00,el penon e3,urbana,casas de habitacion,no reportado,a pie,a pie,43,femenino,soltero,colombia,empleado particular,odontologo,superior,76001000
2011-02-01,valle,cali (ct),martes,00:00:00,obrero e9,urbana,oficinas,arma de fuego,a pie,a pie,45,masculino,casado,colombia,politico,no reportado,secundaria,76001000
2011-02-01,valle,cali (ct),martes,00:00:00,san pedro e3,urbana,vias publicas,no reportado,a pie,a pie,42,masculino,union libre,colombia,empleado particular,no reportado,secundaria,76001000
2011-02-01,valle,cali (ct),martes,07:00:00,nueva floresta e12,urbana,"colegios, escuelas",no reportado,conductor motocicleta,a pie,48,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-02-01,valle,cali (ct),martes,10:00:00,versalles e2,urbana,clinicas y similares,arma de fuego,a pie,a pie,24,femenino,soltero,colombia,independiente,no reportado,tecnico,76001000
2011-02-01,valle,cali (ct),martes,15:00:00,santa elena e10,urbana,,arma de fuego,a pie,a pie,28,masculino,casado,no reportado,independiente,no reportado,secundaria,76001000
2011-02-01,valle,cali (ct),martes,16:50:00,villacolombia e8,urbana,vias publicas,arma de fuego,a pie,a pie,58,masculino,casado,colombia,independiente,no reportado,tecnico,76001000
2011-02-02,valle,cali (ct),miercoles,09:30:00,ciudadela floralia e6,urbana,vias publicas,arma de fuego,a pie,a pie,34,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-02-03,valle,cali (ct),jueves,10:00:00,villacolombia,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,41,masculino,union libre,colombia,desempleado,no reportado,superior,76001000
2011-02-03,valle,cali (ct),jueves,15:00:00,melendez e18,urbana,vias publicas,arma de fuego,a pie,a pie,28,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-02-04,valle,cali (ct),viernes,00:00:00,terron colorado e1,urbana,vias publicas,no reportado,a pie,a pie,47,femenino,union libre,no reportado,desempleado,no reportado,primaria,76001000
2011-02-05,valle,cali (ct),sabado,08:30:00,salomia e4,urbana,vias publicas,contundentes,a pie,a pie,35,masculino,union libre,colombia,empleado particular,administrador de empresas,superior,76001000
2011-02-05,valle,cali (ct),sabado,17:30:00,olimpico e10,urbana,vias publicas,arma de fuego,a pie,a pie,25,femenino,soltero,colombia,empleado salud,fisioterapeuta,superior,76001000
2011-02-06,valle,cali (ct),domingo,09:30:00,el guabal e10,urbana,dentro de la vivienda,contundentes,a pie,a pie,28,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-02-07,valle,cali (ct),lunes,18:00:00,metropolitano del norte e5,urbana,casas de habitacion,no reportado,a pie,a pie,47,masculino,union libre,colombia,desempleado,no reportado,superior,76001000
2011-02-09,valle,cali (ct),miercoles,12:40:00,la rivera e5,urbana,casas de habitacion,no reportado,a pie,a pie,26,femenino,soltero,colombia,independiente,no reportado,superior,76001000
2011-02-09,valle,cali (ct),miercoles,15:00:00,manuela beltran e14,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-02-09,valle,cali (ct),miercoles,16:59:00,chiminangos i e5,urbana,casas de habitacion,no reportado,a pie,a pie,26,masculino,union libre,colombia,independiente,no reportado,superior,76001000
2011-02-11,valle,cali (ct),viernes,08:00:00,ciudad jardin e22,urbana,local comercial,arma de fuego,a pie,a pie,46,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-02-11,valle,cali (ct),viernes,12:00:00,paso del comercio e6,urbana,dentro de la vivienda,no reportado,a pie,a pie,41,masculino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-02-11,valle,cali (ct),viernes,17:00:00,desepaz invicali e21,urbana,vias publicas,arma de fuego,a pie,a pie,61,masculino,union libre,colombia,independiente,no reportado,primaria,76001000
2011-02-12,valle,cali (ct),sabado,14:00:00,el retiro e15,urbana,vias publicas,arma de fuego,a pie,a pie,47,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-02-13,valle,cali (ct),domingo,00:00:00,villa luz e21,urbana,vias publicas,arma de fuego,a pie,a pie,44,femenino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2011-02-13,valle,cali (ct),domingo,10:00:00,torres de confandi e5,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,30,femenino,viudo,colombia,ama de casa,no reportado,secundaria,76001000
2011-02-13,valle,cali (ct),domingo,14:45:00,alfonso b. aragon e14,urbana,vias publicas,contundentes,a pie,a pie,23,femenino,viudo,colombia,independiente,no reportado,secundaria,76001000
2011-02-14,valle,cali (ct),lunes,10:00:00,los chorros e18,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,38,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-02-14,valle,cali (ct),lunes,10:00:00,pizamos ii e21,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,43,femenino,union libre,colombia,ama de casa,no reportado,secundaria,76001000
2011-02-14,valle,cali (ct),lunes,15:00:00,ciudad capri e17,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,38,femenino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2011-02-14,valle,cali (ct),lunes,17:00:00,quintas de salomia e6,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,18,femenino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-02-15,valle,cali (ct),martes,10:00:00,pance e22,urbana,dentro de la vivienda,no reportado,a pie,a pie,46,femenino,casado,colombia,independiente,no reportado,secundaria,76001000
2011-02-15,valle,cali (ct),martes,11:30:00,versalles e2,urbana,vias publicas,no reportado,conductor motocicleta,a pie,50,masculino,casado,colombia,independiente,abogado,superior,76001000
2011-02-15,valle,cali (ct),martes,15:30:00,tequendama e19,urbana,oficinas,no reportado,a pie,a pie,31,masculino,casado,colombia,empleado publico,administrador de empresas,superior,76001000
2011-02-15,valle,cali (ct),martes,16:00:00,obrero e9,urbana,vias publicas,no reportado,a pie,a pie,39,masculino,casado,no reportado,empleado particular,no reportado,secundaria,76001000
2011-02-15,valle,cali (ct),martes,17:00:00,san fernando nuevo e19,urbana,vias publicas,arma de fuego,conductor motocicleta,a pie,25,femenino,soltero,colombia,estudiante,no reportado,superior,76001000
2011-02-15,valle,cali (ct),martes,17:30:00,benjamin herrera e8,urbana,casas de habitacion,contundentes,a pie,a pie,23,masculino,union libre,colombia,empleado particular,no reportado,primaria,76001000
2011-02-15,valle,cali (ct),martes,22:10:00,el cedro e19,urbana,dentro de la vivienda,arma de fuego,a pie,a pie,63,masculino,soltero,colombia,empleado particular,comunicador socialno reportadoperiodista,superior,76001000
2011-02-16,valle,cali (ct),miercoles,10:00:00,la hacienda e17,urbana,vias publicas,arma de fuego,a pie,a pie,18,masculino,soltero,colombia,estudiante,no reportado,secundaria,76001000
