fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,clase_empresa,codigo_dane
2010-03-03,valle,cali (ct),miercoles,13:20:00,urbanizacion calimio e6,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-03-03,valle,cali (ct),miercoles,17:45:00,belisario caicedo e20,urbana,compraventa,arma de fuego,a pie,a pie,otra empreas comercial,76001000
2010-03-03,valle,cali (ct),miercoles,20:00:00,vipasa e2,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,droguerias y farmacias,76001000
2010-03-03,valle,cali (ct),miercoles,21:00:00,san nicolas e3,urbana,empresa,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-04,valle,cali (ct),jueves,02:30:00,el jardin e11,urbana,"droguerias, farmacias",cortantes,a pie,a pie,droguerias y farmacias,76001000
2010-03-05,valle,cali (ct),viernes,09:00:00,las delicias,urbana,bodegas y similares,sin empleo de armas,a pie,a pie,"bodegas, depositos",76001000
2010-03-05,valle,cali (ct),viernes,15:00:00,versalles e2,urbana,local comercial,sin empleo de armas,a pie,a pie,consultorios medicos,76001000
2010-03-05,valle,cali (ct),viernes,16:00:00,san juan bosco e3,urbana,local comercial,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-05,valle,cali (ct),viernes,18:05:00,chipichape e2,urbana,centro comercial,contundentes,a pie,a pie,almacenes,76001000
2010-03-06,valle,cali (ct),sabado,10:40:00,san pedro e3,urbana,almacenes,arma blanca,a pie,a pie,almacenes,76001000
2010-03-06,valle,cali (ct),sabado,17:35:00,calima e4,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-07,valle,cali (ct),domingo,14:30:00,la flora e2,urbana,"droguerias, farmacias",arma de fuego,a pie,a pie,servicios,76001000
2010-03-08,valle,cali (ct),lunes,14:00:00,manuela beltran e14,urbana,oficinas,cortantes,a pie,a pie,oficinas,76001000
2010-03-08,valle,cali (ct),lunes,15:58:00,valle del lili e17,urbana,supermercados,contundentes,a pie,a pie,supermercados,76001000
2010-03-09,valle,cali (ct),martes,09:55:00,valle del lili e17,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-03-09,valle,cali (ct),martes,14:00:00,unicentro cali e17,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-03-09,valle,cali (ct),martes,20:00:00,valle del lili e17,urbana,almacenes,arma de fuego,a pie,a pie,almacenes,76001000
2010-03-10,valle,cali (ct),miercoles,00:00:00,diamante e13,urbana,"colegios, escuelas",cortantes,a pie,a pie,"colegios, escuelas",76001000
2010-03-10,valle,cali (ct),miercoles,07:00:00,cristobal colon e10,urbana,empresa,contundentes,a pie,a pie,otra empreas comercial,76001000
2010-03-10,valle,cali (ct),miercoles,07:00:00,nueva tequendama e19,urbana,clinicas y similares,sin empleo de armas,a pie,a pie,"clinicas, hospitales",76001000
2010-03-10,valle,cali (ct),miercoles,12:30:00,obrero e9,urbana,empresa,cortantes,a pie,a pie,"bodegas, depositos",76001000
2010-03-10,valle,cali (ct),miercoles,20:10:00,el sena e5,urbana,almacenes,sin empleo de armas,a pie,a pie,almacenes,76001000
2010-03-10,valle,cali (ct),miercoles,22:10:00,versalles e2,urbana,local comercial,arma blanca,a pie,a pie,oficinas,76001000
2010-03-14,valle,cali (ct),domingo,06:20:00,granada e2,urbana,bodegas y similares,arma de fuego,a pie,a pie,entidades publicas,76001000
2010-03-14,valle,cali (ct),domingo,07:30:00,tequendama e19,urbana,clinicas y similares,cortantes,a pie,a pie,"clinicas, hospitales",76001000
2010-03-14,valle,cali (ct),domingo,11:25:00,,urbana,local comercial,sin empleo de armas,a pie,a pie,otra empreas comercial,76001000
2010-03-14,valle,cali (ct),domingo,22:45:00,ciudad jardin e22,urbana,almacenes,contundentes,a pie,a pie,almacenes,76001000
2010-03-15,valle,cali (ct),lunes,00:00:00,san pedro e3,urbana,local comercial,contundentes,a pie,a pie,joyerias,76001000
2010-03-15,valle,cali (ct),lunes,14:50:00,el ingenio e17,urbana,almacenes,cortantes,a pie,a pie,almacenes,76001000
2010-03-16,valle,cali (ct),martes,00:00:00,san juan bosco e3,urbana,oficinas,cortantes,a pie,a pie,almacenes,76001000
2010-03-16,valle,cali (ct),martes,12:20:00,marroquin i e14,urbana,compraventa,arma de fuego,a pie,a pie,almacenes,76001000
