fecha,departamento,municipio,dia,hora,barrio,zona,clase_de_sitio,arma_empleada,movil_agresor,movil_victima,codigo_dane
2015-05-16,valle,cali (ct),sabado,06:00:00,granada e2,urbana,oficinas,contundentes,a pie,a pie,76001000
2015-05-16,valle,cali (ct),sabado,18:09:00,ciudad cordoba e15,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-05-17,valle,cali (ct),domingo,14:00:00,julio rincon e12,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-18,valle,cali (ct),lunes,17:30:00,el guabal e10,urbana,local comercial,arma de fuego,a pie,a pie,76001000
2015-05-18,valle,cali (ct),lunes,11:15:00,caldas e18,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-05-19,valle,cali (ct),martes,16:20:00,,urbana,centro comercial,sin empleo de armas,a pie,a pie,76001000
2015-05-19,valle,cali (ct),martes,10:50:00,el cortijo e20,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-05-20,valle,cali (ct),miercoles,00:00:00,san vicente e2,urbana,local comercial,sin empleo de armas,a pie,a pie,76001000
2015-05-20,valle,cali (ct),miercoles,08:00:00,urbanizacion la flora e2,urbana,"colegios, escuelas",contundentes,a pie,a pie,76001000
2015-05-20,valle,cali (ct),miercoles,16:00:00,chipichape e2,urbana,almacenes,sin empleo de armas,a pie,a pie,76001000
2015-05-20,valle,cali (ct),miercoles,18:00:00,san vicente e2,urbana,empresa,contundentes,a pie,a pie,76001000
2015-05-21,valle,cali (ct),jueves,12:30:00,brisas de los alamos e2,urbana,bodegas y similares,contundentes,a pie,a pie,76001000
2015-05-22,valle,cali (ct),viernes,00:00:00,manuela beltran e14,rural,vias publicas,cortantes,a pie,a pie,76001000
2015-05-22,valle,cali (ct),viernes,18:00:00,san fernando nuevo e19,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-05-22,valle,cali (ct),viernes,17:00:00,san fernando viejo e19,urbana,supermercados,sin empleo de armas,a pie,a pie,76001000
2015-05-22,valle,cali (ct),viernes,21:00:00,alameda e9,urbana,hospitales,sin empleo de armas,a pie,a pie,76001000
2015-05-22,valle,cali (ct),viernes,21:40:00,morichal de comfandi e15,urbana,local comercial,arma de fuego,pasajero motocicleta,a pie,76001000
