fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesiones,escolaridad,codigo_dane
2011-05-01,valle,cali (ct),domingo,00:00:00,,rural,vias publicas,contundentes,a pie,a pie,25,masculino,soltero,colombia,independiente,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,00:00:00,las granjas e10,urbana,vias publicas,contundentes,a pie,a pie,24,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,00:30:00,antonio narino e16,urbana,discotecas,contundentes,a pie,a pie,41,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,01:30:00,cgto montebello e1,rural,vias publicas,arma de fuego,a pie,a pie,20,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,02:45:00,el vergel e13,urbana,vias publicas,arma de fuego,a pie,a pie,17,masculino,soltero,colombia,desempleado,no reportado,primaria,76001000
2011-05-01,valle,cali (ct),domingo,03:00:00,laureano gomez e15,urbana,vias publicas,arma blanca,a pie,a pie,24,masculino,union libre,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,03:30:00,compartir e21,urbana,vias publicas,contundentes,a pie,a pie,22,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,04:00:00,urbanizacion calimio e6,urbana,"hoteles, residencias, y similares.",contundentes,a pie,a pie,22,femenino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,04:00:00,villa del prado e5,urbana,vias publicas,contundentes,a pie,a pie,32,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,04:30:00,ricardo balcazar e13,urbana,vias publicas,arma de fuego,a pie,a pie,25,masculino,union libre,no reportado,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,05:00:00,alirio mora beltran e14,urbana,vias publicas,contundentes,a pie,a pie,27,femenino,soltero,colombia,ama de casa,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,05:50:00,brisas de mayo e20,urbana,vias publicas,arma de fuego,a pie,a pie,23,masculino,soltero,colombia,independiente,no reportado,secundaria,76001000
2011-05-01,valle,cali (ct),domingo,06:00:00,antonio narino e16,urbana,vias publicas,arma blanca,a pie,a pie,24,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
