fecha,departamento,municipio,dia,hora,barrio,zona,clase_sitio,arma_empleada,movil_agresor,movil_victima,edad,sexo,estado_civil,pais_nace,clase_empleado,profesion,escolaridad,codigo_dane
2010-01-17,valle,cali (ct),domingo,20:00:00,el limonar e17,urbana,casa en conjunto cerrado,contundentes,a pie,a pie,49,masculino,casado,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-18,valle,cali (ct),lunes,05:00:00,ciudad capri e17,urbana,casas de habitacion,contundentes,a pie,a pie,68,masculino,casado,colombia,empleado particular,abogado,superior,76001000
2010-01-18,valle,cali (ct),lunes,07:00:00,valle del lili e17,urbana,casas de habitacion,cortantes,a pie,a pie,51,femenino,divorciado,colombia,independiente,no reportado,superior,76001000
2010-01-18,valle,cali (ct),lunes,12:45:00,pampa linda e19,urbana,apartamento en conjunto cerrado,arma de fuego,a pie,a pie,29,masculino,soltero,colombia,empleado particular,no reportado,secundaria,76001000
2010-01-18,valle,cali (ct),lunes,14:00:00,urb. colseguros e19,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,24,femenino,soltero,colombia,comerciante,no reportado,secundaria,76001000
2010-01-18,valle,cali (ct),lunes,15:00:00,,urbana,casas de habitacion,arma de fuego,a pie,a pie,49,femenino,soltero,colombia,independiente,no reportado,secundaria,76001000
2010-01-18,valle,cali (ct),lunes,16:00:00,potrero grande e21,urbana,casas de habitacion,cortantes,a pie,a pie,58,masculino,soltero,no reportado,independiente,no reportado,secundaria,76001000
2010-01-18,valle,cali (ct),lunes,19:00:00,junin e9,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,30,femenino,soltero,colombia,independiente,no reportado,primaria,76001000
2010-01-19,valle,cali (ct),martes,10:30:00,cgto la buitrera e18,rural,fincas y similares,arma de fuego,a pie,a pie,38,femenino,soltero,colombia,ama de casa,no reportado,primaria,76001000
2010-01-19,valle,cali (ct),martes,21:30:00,santa anita e17,urbana,dentro de la vivienda,sin empleo de armas,a pie,a pie,34,masculino,casado,colombia,comerciante,no reportado,secundaria,76001000
